조회년도,조회월,항만명,입출항구분,Measures,합계,육 류,어패류.갑각류 등,양 곡,제분공업 생산품,기타동.식물성 생산품,동.식물성 유지류,당 류,조제식품.음료.주류등,시멘트,모 래,무연탄,유연탄,철광석,기타광석 및 생산품,원유(역청유). 석유,석유 정제품,석유가스 및 기타가스,비 료,화학공업 생산품,플라스틱.고무및 제품,피혁류 및 그제품,원 목,목재.목탄.코르크 등,방직용섬유 및 그제품,고 철,철강 및 그제품,비철금속 및 그제품,기계류 및 그부품,전기기기 및 그부품,차량 및 그부품,항공기.선박 및 부품,기 타
2017,1,인천,입항,총계,12919237,1343.0,7317.0,267410.0,417.0,164058.0,21520.0,89489.0,238290.0,296721.0,1187281.0,181214.0,1479865.0,2627.0,213621.0,925983.0,893304.0,3451226.0,38803.0,147978.0,55727.0,88816.0,160067.0,121703.0,1290975.0,91346.0,561053.0,58148.0,90773.0,462679.0,37946.0,2293.0,289244.0
2017,1,인천,출항,국적선,301678,31.0,0.0,0.0,333.0,830.0,128.0,463.0,3578.0,0.0,21.0,0.0,0.0,0.0,2600.0,0.0,117366.0,0.0,338.0,6825.0,7965.0,846.0,0.0,422.0,94029.0,327.0,13506.0,1726.0,5384.0,11934.0,1215.0,21.0,31790.0
2017,1,인천,출항,외국선,1897484,16.0,694.0,35978.0,1159.0,1972.0,695.0,5207.0,11846.0,0.0,0.0,0.0,0.0,0.0,11629.0,261868.0,80390.0,506.0,547.0,41996.0,66344.0,3760.0,6.0,25601.0,313662.0,1654.0,163633.0,10721.0,120935.0,86501.0,518562.0,0.0,131602.0
2017,1,인천,출항,수출입계,2199162,47.0,694.0,35978.0,1492.0,2802.0,823.0,5670.0,15424.0,0.0,21.0,0.0,0.0,0.0,14229.0,261868.0,197756.0,506.0,885.0,48821.0,74309.0,4606.0,6.0,26023.0,407691.0,1981.0,177139.0,12447.0,126319.0,98435.0,519777.0,21.0,163392.0
2017,1,인천,출항,연안선,150195,0.0,0.0,0.0,37.0,0.0,248.0,0.0,440.0,0.0,0.0,0.0,0.0,0.0,12860.0,0.0,27850.0,18943.0,0.0,1162.0,885.0,0.0,0.0,634.0,8849.0,0.0,2196.0,18.0,7230.0,18.0,66245.0,0.0,2580.0
2017,1,인천,출항,총계,2349357,47.0,694.0,35978.0,1529.0,2802.0,1071.0,5670.0,15864.0,0.0,21.0,0.0,0.0,0.0,27089.0,261868.0,225606.0,19449.0,885.0,49983.0,75194.0,4606.0,6.0,26657.0,416540.0,1981.0,179335.0,12465.0,133549.0,98453.0,586022.0,21.0,165972.0
2017,1,인천,입항환적,국적선,2343,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,45.0,2006.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0
2017,1,인천,입항환적,외국선,16356,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5036.0,0.0,465.0,4060.0,0.0,0.0,0.0,650.0,1602.0,1543.0,0.0,2890.0
2017,1,인천,입항환적,수출입계,18699,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5121.0,0.0,510.0,6066.0,0.0,0.0,0.0,650.0,1698.0,1543.0,0.0,2890.0
2017,1,인천,입항환적,연안선,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
